area_city,area,area_latitude,area_longitude,popularity_index,nightlife_index,top_cuisines,restaurant_id,name,cuisines,avg_cost_for_two,price_range,has_online_delivery,has_table_delivery,agg_rating,rating_text,votes,locality,address,latitude,longitude
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",123806,Chandigarh Flavours,"North Indian, Chinese",550,2,1,0,3.9,Good,887,Sector 46,"Sector 46, Chandigarh",30.7077604600,76.7641253200
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",121737,Sodhi's Zaika,"North Indian, Street Food",150,1,1,0,3.9,Good,845,Sector 46,"Booth 19, Sector 46 C, Sector 46, Chandigarh",30.7005489856,76.7658496276
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",120156,Karthik,South Indian,250,1,1,0,4.1,Very Good,988,Sector 47,"SCO 50, Sector 47 D, Sector 47, Chandigarh",30.6972370958,76.7672135308
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",121009,Uttam's Bakery & Restaurant,"Continental, Italian, Fast Food, Bakery",550,2,1,0,3.9,Good,557,Sector 46,"SCO 62, Sector 46 C, Sector 46, Chandigarh",30.6996186812,76.7658130825
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",123794,Chandigarh Rasoi,"North Indian, Chinese",300,1,1,0,2.6,Average,511,Sector 46,"SCF 596, Kesho Ram Complex, Burail, Sector 45, Chandigarh",30.7055523529,76.7585546896
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",18681276,Gulati Chicken,North Indian,400,1,1,0,3.4,Average,521,Sector 47,"16, Sector - 47 D, Sector 47, Chandigarh",30.6973469366,76.7660521343
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",121963,Cookie's Jar by Geet and Vir,Bakery,600,2,1,0,4.6,Excellent,270,Sector 46,"Sector 46, Chandigarh",30.7012898786,76.7651633173
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",121058,Laajawab,"North Indian, Mughlai, Chinese",650,2,1,0,2.8,Average,492,Sector 47,"Booth 15, Sector 49 A, Near Sector 47, Chandigarh",30.6974207403,76.7553638667
Chandigarh,Sector 47,30.6958150000,76.7697000000,3.77,1.02,"North Indian,Fast Food,Chinese,Bakery,Street Food",121789,Desi Tadka,"North Indian, Chinese",600,2,1,0,3.7,Good,377,Sector 47,"Shop 20, Sector 49 A, Near Sector 47, Chandigarh",30.6972160502,76.7552931234
Chandigarh,Sector 26,30.7311610000,76.8069510000,4.97,5.00,"North Indian,Chinese,Fast Food,Continental,Italian",124170,Sector 7 Social,"Continental, American, Asian, North Indian, Momos",1400,3,1,0,4.8,Excellent,2155,Sector 7,"SCO 37, Madhya Marg, Sector 7, Chandigarh",30.7298603654,76.8009322509
